charname,birthname,universes,superpowers
Silk,Cindy Moon,"Earth-616, Marvel Universe","superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Snowbird,Narya,Marvel Universe,"flight, shapeshifting, superhuman strength, retrocognition"
Thunderbird,John Proudstar,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength"
Cannonball,Samuel Zachery Guthrie,"Earth-616, Marvel Universe",thermo-chemical energy
Shriek,Frances Louise Barrison,Marvel Universe,sonic scream
Galactus,Galan,"Earth-616, Marvel Universe","superhuman durability, superhuman speed, reality warping, teleportation, immortality, superhuman strength, levitation, force field, healing factor, psychokinesis, time travel, telepathy"
Harry Osborn,Harold Theopolis Osborn,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength, healing factor"
Chris Bradley,Christopher Bradley,"Earth-616, Marvel Universe","technopathy, electrokinesis"
Ultimate Magneto,Erik Lensherr,Marvel Universe,magnetism manipulation
Magneto,Max Eisenhardt,"Earth-616, Marvel Universe","electromagnetism manipulation, magnetism manipulation"
Ultimate Angel,Warren Worthington III,Marvel Universe,flight
Vulcan,Gabriel Summers,"Earth-616, Marvel Universe","flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor"
Kitty Pryde,Katherine Anne Pryde,"Earth-616, Marvel Universe",intangibility
Wolfsbane,Rahne Sinclair,"Earth-616, Marvel Universe","superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor"
Mystique,Raven Darkhölme,Marvel Universe,shapeshifting
Ultimate Kitty Pryde,Katherine Pryde,Marvel Universe,intangibility
Anya Corazon,Anya Sofia Corazon,Marvel Universe,"superhuman agility / reflexes, superhuman strength"
Adam X,Adam Neramani,"Earth-616, Marvel Universe","superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor"
Banshee,Sean Cassidy,"Earth-616, Marvel Universe",sonic scream
Rhino,Алексей Михайлович Сицевич,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength"
Nuke,Frank Simpson,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength"
Ultimate Firestar,Elizabeth Allan,Marvel Universe,"pyrokinesis, flight"
Elliot Boggs,Elliot Boggs,Marvel Universe,reality warping
Ahab,Roderick Campbell,"Marvel Universe, Earth-811","superhuman strength, superhuman durability"
Daredevil,Matthew Michael Murdock,"Earth-616, Marvel Universe",superhuman senses
Legion,David Charles Haller,Marvel Universe,"shapeshifting, reality warping, chronokinesis, pyrokinesis, psychokinesis, telepathy"
Whirlwind,David Cannon,Marvel Universe,"flight, superhuman agility / reflexes, superhuman speed, aerokinesis"
Wild Child,Kyle Gibney,Marvel Universe,"superhuman senses, superhuman agility / reflexes, healing factor"
Feral,Maria Callasantos,"Earth-616, Marvel Universe","superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
